EPC,Antenna,Count,Time,Protocol,CRC,PC
E2000015860E022916906B8F,1,15,2017-10-22T01,GEN2,0xA1CE,0x3000
E2000015860E018116906B2F,1,5,2017-10-22T01,GEN2,0xF28D,0x3000
E2000015860E022916906B8F,1,15,2017-10-22T01,GEN2,0xA1CE,0x3000
E2000015860E018116906B2F,1,5,2017-10-22T01,GEN2,0xF28D,0x3000
E2000015860E022916906B8F,1,15,2017-10-22T01,GEN2,0xA1CE,0x3000
E2000015860E018116906B2F,1,5,2017-10-22T01,GEN2,0xF28D,0x3000
E2000015860E022916906B8F,1,15,2017-10-22T01,GEN2,0xA1CE,0x3000
E2000015860E018116906B2F,1,5,2017-10-22T01,GEN2,0xF28D,0x3000
E2000015860E022916906B8F,1,15,2017-10-22T01,GEN2,0xA1CE,0x3000
E2000015860E018116906B2F,1,5,2017-10-22T01,GEN2,0xF28D,0x3000
